circuit_name,Trilaciclib,Abemaciclib,Ribociclib,Palbociclib,Bumetanide,Nicorandil,Dalteparin,Andexanet alfa,Triflusal,Varenicline,Nicotine,Filgotinib,Ruxolitinib,Upadacitinib,Abrocitinib,Tofacitinib,Baricitinib,Levetiracetam,Ziconotide,Somatotropin,Pegvisomant,Lonapegsomatropin,Antithymocyte immunoglobulin (rabbit),Nintedanib,Pemigatinib,Futibatinib,Lenvatinib,Infigratinib,Erdafitinib,Sapropterin,Tasonermin,Dacomitinib,Lapatinib,Amivantamab,Panitumumab,Necitumumab,Foreskin keratinocyte (neonatal),Erlotinib,Gefitinib,Osimertinib,Mobocertinib,Afatinib,Neratinib,Cetuximab,Brigatinib,Thiamylal,Gliquidone,Levosimendan,Stiripentol,Nisoldipine,Nitrendipine,Gabapentin,Felodipine,Nilvadipine,Isradipine,Nicardipine,Pregabalin,Paclitaxel,Docetaxel,Bacitracin,Tebentafusp,Anthralin,Arbutin,Hydroquinone,Azelaic acid,Collagenase clostridium histolyticum,Belzutifan,Regorafenib,Dasatinib,Sutimlimab,Human C1-esterase inhibitor,Conestat alfa,Moxetumomab pasudotox,Methotrexate,Pemetrexed,Pitolisant,Betahistine,Histamine
Melanogenesis: DCT,0.7384964386683001,0.7384964386683001,0.7384964386683001,0.7384964386683001,0.8236871507567922,1.0,0.0,0.0,0.0,0.5056566719706241,0.5056566719706241,0.5324278525661564,0.5324278525661564,0.5324278525661564,0.5324278525661564,0.5324278525661564,0.5324278525661564,0.0,0.0,0.504885606018109,0.504885606018109,0.504885606018109,0.5335978853642461,0.4838108681700296,0.4838108681700296,0.4838108681700296,0.4838108681700296,0.4838108681700296,0.4838108681700296,0.0,0.0,0.7006094513413661,0.7006094513413661,0.7006094513413661,0.7006094513413661,0.7006094513413661,0.7006094513413661,0.7006094513413661,0.7006094513413661,0.7006094513413661,0.7006094513413661,0.7006094513413661,0.7006094513413661,0.7006094513413661,0.7006094513413661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5933967453351888,0.5933967453351888,0.7133705944951569,0.5958289928439413,0.6372152706665934,0.6431761536653877,0.6431761536653877,0.6431761536653877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5308024649570959,0.0,0.0,0.0,0.0,0.0
p53 signaling pathway: CASP3,0.6476177366422474,0.6476177366422474,0.6476177366422474,0.6476177366422474,0.993118183475454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5362667377189374,0.5362667377189374,0.5362667377189374,0.4182196812982978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.7933074316344384,0.5802784295032911,0.5802784295032911,0.5802784295032911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4932092940068432,0.4932092940068432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495061141308248,0.5192645549809402,0.5192645549809402,0.5777975154751995,0.28889875773759977,0.28889875773759977,0.0,0.0,0.0,0.0,0.0,0.0
p53 signaling pathway: IGF1,0.6522976121814965,0.6522976121814965,0.6522976121814965,0.6522976121814965,1.0,0.8655721243754617,0.8326034804211386,0.8326034804211386,0.8063985647298785,0.6953061768618083,0.6953061768618083,0.0,0.0,0.0,0.0,0.0,0.0,0.3817665734220457,0.3817665734220457,0.5352025449691912,0.5352025449691912,0.5352025449691912,0.798354301008912,0.5735660491334902,0.5735660491334902,0.5735660491334902,0.5735660491334902,0.5735660491334902,0.5735660491334902,0.0,0.355318383523633,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3587592424830041,0.3852045521655277,0.3852045521655277,0.3852045521655277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4740130648799783,0.0,0.3303511967674393,0.3303511967674393,0.5606977666187293,0.5053263557549755,0.5053263557549755,0.0,0.0,0.0,0.0,0.0,0.0
Tight junction: TJP1 YBX3 CDK4,1.0,1.0,1.0,1.0,0.4640448566996026,0.8367676229279344,0.4049069638022331,0.4049069638022331,0.4858198746262496,0.4312507759096912,0.4312507759096912,0.3670266016209073,0.3670266016209073,0.3670266016209073,0.3670266016209073,0.3670266016209073,0.3670266016209073,0.1634588837707949,0.1634588837707949,0.3313467998912211,0.3313467998912211,0.3313467998912211,0.7751313250897823,0.3262319471099096,0.3262319471099096,0.3262319471099096,0.3262319471099096,0.3262319471099096,0.3262319471099096,0.2029379560750855,0.2369624932753255,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.6350056675773746,0.47278074042266,0.47278074042266,0.47278074042266,0.2236547265718862,0.3372109535599404,0.3372109535599404,0.3372109535599404,0.3372109535599404,0.3372109535599404,0.3372109535599404,0.3372109535599404,0.3372109535599404,0.1913469257757572,0.1913469257757572,0.0,0.0,0.0,0.0,0.0,0.0,0.2620508985017917,0.4325780578856508,0.4031742274021263,0.4031742274021263,0.5554015298426764,0.4164743123585617,0.4164743123585617,0.2267765501851922,0.3299610757673483,0.3299610757673483,0.0,0.0,0.0
p53 signaling pathway: PERP,0.6331477014564095,0.6331477014564095,0.6331477014564095,0.6331477014564095,0.5730260359489451,0.3838781514972845,0.546131007559897,0.546131007559897,1.0,0.912644906378672,0.912644906378672,0.4353762584870462,0.4353762584870462,0.4353762584870462,0.4353762584870462,0.4353762584870462,0.4353762584870462,0.568725211309953,0.568725211309953,0.5009386406361819,0.5009386406361819,0.5009386406361819,0.4761062682239859,0.6979801824301932,0.6979801824301932,0.6979801824301932,0.6979801824301932,0.6979801824301932,0.6979801824301932,0.4523123731067503,0.4019907089381486,0.5150715783874574,0.5150715783874574,0.5150715783874574,0.5150715783874574,0.5150715783874574,0.5150715783874574,0.5150715783874574,0.5150715783874574,0.5150715783874574,0.5150715783874574,0.5150715783874574,0.5150715783874574,0.5150715783874574,0.5150715783874574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4017659245720745,0.3183151843337544,0.3407215199645576,0.3478200424975722,0.3478200424975722,0.3478200424975722,0.3770142300297943,0.0,0.0,0.0,0.3311277765640358,0.1655638882820179,0.1655638882820179,0.0,0.0,0.0,0.0,0.0,0.0
p53 signaling pathway: CD82,0.6122287364806612,0.6122287364806612,0.6122287364806612,0.6122287364806612,0.4483242503421495,0.4333654857667817,0.4675433992251585,0.4675433992251585,1.0,0.7758188851508121,0.7758188851508121,0.6915586793136902,0.6915586793136902,0.6915586793136902,0.6915586793136902,0.6915586793136902,0.6915586793136902,0.5968265477766731,0.5968265477766731,0.4000145058999498,0.4000145058999498,0.4000145058999498,0.0,0.5752402033905932,0.5752402033905932,0.5752402033905932,0.5752402033905932,0.5752402033905932,0.5752402033905932,0.4534821171145038,0.3523044617485655,0.4409101080796735,0.4409101080796735,0.4409101080796735,0.4409101080796735,0.4409101080796735,0.4409101080796735,0.4409101080796735,0.4409101080796735,0.4409101080796735,0.4409101080796735,0.4409101080796735,0.4409101080796735,0.4409101080796735,0.4409101080796735,0.0,0.0,0.0,0.0,0.4250760650510016,0.4250760650510016,0.4250760650510016,0.4250760650510016,0.4250760650510016,0.4250760650510016,0.4250760650510016,0.4250760650510016,0.0,0.0,0.3465114740976999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FoxO signaling pathway: CDKN2B,0.7619607091443081,0.7619607091443081,0.7619607091443081,0.7619607091443081,0.0,0.4689291615931558,0.6930726156932567,0.6930726156932567,1.0,0.9730626782901096,0.9730626782901096,0.4503372579020905,0.4503372579020905,0.4503372579020905,0.4503372579020905,0.4503372579020905,0.4503372579020905,0.3244411304062854,0.3244411304062854,0.0,0.0,0.0,0.3538930116327875,0.0,0.0,0.0,0.0,0.0,0.0,0.5250103061520103,0.5018030017683656,0.3409526093613838,0.3409526093613838,0.3409526093613838,0.3409526093613838,0.3409526093613838,0.3409526093613838,0.3409526093613838,0.3409526093613838,0.3409526093613838,0.3409526093613838,0.3409526093613838,0.3409526093613838,0.3409526093613838,0.3409526093613838,0.0,0.0,0.0,0.0,0.3648622948124215,0.3648622948124215,0.3648622948124215,0.3648622948124215,0.3648622948124215,0.3648622948124215,0.3648622948124215,0.3648622948124215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3402170487833326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cell cycle: TFDP1 E2F4,0.5610754601350699,0.5610754601350699,0.5610754601350699,0.5610754601350699,0.0,0.5143740630553133,0.5134879805193353,0.5134879805193353,0.7869716343399981,0.8748539985120029,0.8748539985120029,0.7100622281393622,0.7100622281393622,0.7100622281393622,0.7100622281393622,0.7100622281393622,0.7100622281393622,0.0,0.0,0.0,0.0,0.0,1.0,0.3836035502256413,0.3836035502256413,0.3836035502256413,0.3836035502256413,0.3836035502256413,0.3836035502256413,0.3900901839896351,0.3607389344533436,0.374983601519456,0.374983601519456,0.374983601519456,0.374983601519456,0.374983601519456,0.374983601519456,0.374983601519456,0.374983601519456,0.374983601519456,0.374983601519456,0.374983601519456,0.374983601519456,0.374983601519456,0.374983601519456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p53 signaling pathway: CDK4 CCND1,1.0,1.0,1.0,1.0,0.3833023006177296,0.5158989410196897,0.522015281471952,0.522015281471952,0.6865596279701321,0.6705525267917017,0.6705525267917017,0.0,0.0,0.0,0.0,0.0,0.0,0.3781218568022456,0.3781218568022456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3030267643251958,0.3030267643251958,0.3030267643251958
PI3K-Akt signaling pathway: CCND1 CDK2,0.7239475440109048,0.7239475440109048,0.7239475440109048,0.7239475440109048,0.6436354575094108,0.0,0.8543309248430525,0.8543309248430525,1.0,0.9086717240231216,0.9086717240231216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
