circuit_name,TNF,IL2RG,NFKB1,CSF3R,CD52,LCK,ALOX5,BTK,IFNAR2,TYK2,PSMB8,CD247,CSF2RB,ITGAL,PIK3CD,IL2RB,SLAMF7,SCN8A,TUBB3,CHRNA4,CACNA1B,SLC12A5,KCNC1,CHRNB2,HRH3,IL1B,CD3E,PSMB10,SYK,C5AR1,TGFB1,PSMB9,CNR2,JAK3,DGAT2,NPR1,TFPI,AOC3,VDR,TYMP,CACNA1C,PLAT,CACNA1S,RYR1,SCN1B,CD4,KCNA3,BST1,FCER1G,ABAT,SCN2A,IFNG,VKORC1L1,AGTR1,VWF,ICAM1,FCGR2A,FCGR3B,SLC5A1,HBA1,VEGFA,EGFR,PTAFR,LTA,HBB,PIK3CG,ANXA2,TNFRSF1A,AHR,IL1R1,NNMT,HCAR2,HCAR3,NOD2,GHR,SCN4A,LPL,PPARG
mTOR signaling pathway: EIF4E,-0.8775252880328877,-1.0,0.0,-0.5858944628683689,-0.5482333459953334,-0.5622803144812588,-0.5938713963573825,-0.6569838976468421,-0.43700695023244035,-0.5236355619630689,-0.0,-0.0,-0.0,-0.8749818111034843,-0.875430977150581,-0.3980629970000904,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.389614134178423,0.31285528903989007,0.3412162747812526,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.5147243559565952,0.7677753313602547,-0.4113245654713644,-0.0
Apoptosis: ACTB,-1.0,-0.9043090893054573,0.0,-0.4240807364331484,-0.42531378964630245,-0.2887580991507496,-0.27317713826555773,-0.0,-0.0,-0.0,-0.3233745883692637,-0.2675680691027133,-0.25795328969834924,-0.5327660243831495,-0.2632876494268666,-0.7672588635404365,-0.5935276331332782,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.2233891685376555,-0.0,0.0,0.0,0.0,0.0,-0.21311403410454738,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.30262945359735893,-0.0,-0.0,-0.0,-0.0,-0.2839798578246926,-0.38539587056373625
Apoptosis: SPTA1,-1.0,-0.9606195406429437,-0.0,-0.6185354561570664,-0.47127202356477577,-0.3916494476702608,-0.3972229951005741,-0.3045467867239226,-0.0,-0.21045319648637933,-0.29176955141924,-0.3250266536576358,-0.24828124520478617,-0.6950486914220161,-0.4100795811695854,-0.7438117552302801,-0.5587437676737982,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.2101196676623406,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.26533435380357273,-0.2113410741180096,-0.0,-0.0,-0.2858577135779867,-0.0,-0.3166043235755886
Apoptosis: DFFA,-1.0,-0.9450305163313736,0.0,-0.5156135593811914,-0.44827836332221344,-0.35260662746932253,-0.3482740914059715,-0.25844700536516496,-0.0,-0.0,-0.2693008282044344,-0.2914458016661259,-0.26295628384657865,-0.6223879469735123,-0.35543480043563846,-0.8158139556741533,-0.5859016134141725,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.2118260548079445,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.28924893073653,-0.21151821284554354,-0.0,-0.0,-0.0,-0.20393555711415906,-0.2717845883410569
Apoptosis: LMNA,-0.9880685638583757,-1.0,0.0,-0.4145566030813671,-0.4630049036387299,-0.4112293877119267,-0.3274150210983959,-0.26961612116637806,-0.0,-0.20818273480221047,-0.2869471858761697,-0.29089219406672456,-0.22696141037798498,-0.648230645618663,-0.3874093550237007,-0.8264445327402525,-0.6355425471727578,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1550173669128099,-0.0,-0.0,-0.0,-0.0,-0.16026423475478094,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.17503588306008572,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.25846610388931973,-0.17831013620425623,-0.0,-0.0,-0.0,-0.0,-0.20771946075837083
TGF-beta signaling pathway: SMAD4***,-1.0,-0.1991513475612245,0.1785026740079343,-0.12514375224757304,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.18669576138080676,-0.11906857277267306,-0.196853986979903,-0.0,-0.0,-0.0,-0.0,-0.13689684559440637,-0.16767577013419352,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.23097071086388118,-0.0,0.0
Adipocytokine signaling pathway: IRS1,-1.0,-0.3330655711652582,0.0,-0.11498943822864344,-0.19883186388111865,-0.1538440434662661,-0.12646217779693483,-0.11285489881350051,-0.0,-0.0,-0.0,-0.0,-0.12255945802063437,-0.2294699688459925,-0.16116861072225017,-0.25116847306132234,-0.20619125454488907,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.09890590243722423,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.22880013945831879,0.11536343958489453,0.0
MAPK signaling pathway: ATF4*,-0.7198677539415027,0.39475636343820364,1.0,0.0,0.0,-0.0,0.32370783027422617,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.4276001379655494,-0.0,-0.4915871132224342,-0.3502799713202585,-0.5958731658136507,-0.734694743988027,-0.7084009831667991,-0.667581505664103,-0.5204458898204869,-0.5682145809539055,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31986931814594577,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.6371537982294754,0.5299440159592965,0.43620855942046016,0.34972737159120215,0.3783813669533693,0.0,0.0,0.0,0.40877523927290776,0.4401730149538285,0.0,0.32446562230513554
MAPK signaling pathway: NFKB1,1.0,0.5172294968746478,0.7241649353217224,0.3005270737083568,0.275962081520471,0.2746214265619572,0.2820171019661211,0.2634598976816838,0.0,0.0,0.0,0.0,0.29561197301455755,0.3955304049235004,0.38686204666795676,0.32616455941241757,0.0,-0.4828923599066466,-0.2562366458917825,-0.4400219439070974,-0.5042170163378628,-0.4873530031199327,-0.48453245734403116,-0.38899210619062735,-0.415333931041231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2922154064588297,0.0,0.2772773843736458,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.5460599468938772,0.5065815942791148,0.4282487372009571,0.3091356704658427,0.2842369317850421,0.31703976362339403,0.24012052787568183,0.0,0.0,0.0,0.0,0.0
MAPK signaling pathway: MYC,0.3969477557288829,0.0,1.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.47023493029967384,-0.31519848548320323,-0.637500767650205,-0.6664840381055606,-0.6958823013792735,-0.6889406879911116,-0.5237297934973955,-0.5431385479265491,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.3068199089213366,0.3155041440404733,0.3166219130986867,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.2672032763380236,-0.30503145929369324,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.7252937797571604,0.5943049658083805,0.5117129501300163,0.4078473681488579,0.3682307209409367,0.4583293944039775,0.0,0.3190578153757231,0.3047047480282145,0.0,0.28759691788412645,0.4005291207319852
