circuit_name,Certolizumab pegol,Etanercept,Infliximab,Adalimumab,Foreskin keratinocyte (neonatal),Pomalidomide,Golimumab,Glycyrrhizic acid,Omega-3-carboxylic acids,Tyloxapol,Triflusal,Fluocinolone acetonide,Levetiracetam,Ziconotide,Phenytoin,Tasonermin,Dalfampridine,Bumetanide,Pitolisant,Betahistine,Histamine,Varenicline,Nicotine,Lifitegrast,Antithymocyte immunoglobulin (rabbit),Idelalisib,Copanlisib,Duvelisib,Zonisamide,Carfilzomib,Muromonab,Sargramostim,Ruxolitinib,Deucravacitinib,Peginterferon alfa-2b,Interferon alfa-n3,Nylidrin,Interferon beta-1b,Interferon alfa-2a,Interferon alfacon-1,Interferon alfa-n1,Peginterferon alfa-2a,Interferon alfa-2b,Interferon beta-1a,Lipegfilgrastim,Pegfilgrastim,Filgrastim,Lenograstim,Eflapegrastim,Sulfasalazine,Mesalazine,Diethylcarbamazine,Masoprocol,Meclofenamic acid,Balsalazide,Acalabrutinib,Zanubrutinib,Ibrutinib,Alemtuzumab,Dasatinib,Aldesleukin,Denileukin diftitox,Niacin,Elotuzumab
Oocyte meiosis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.909385387769252,0.6688688156695703,0.850237111487937,0.850237111487937,0.4767660195983285,0.4509198524159832,0.7971818865821576,0.8597675143979715,0.5873081339404632,0.5873081339404632,0.5873081339404632,0.672417906804961,0.6666923695257074,0.5626802529038158,0.5626802529038158,0.4988556368081039,0.4988556368081039,0.4988556368081039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4742270161742486,0.421256845650948,0.5747293819892083,0.0
Progesterone-mediated oocyte maturation,0.9792121405822648,0.9792121405822648,0.9792121405822648,0.9792121405822648,0.9792121405822648,0.9792121405822648,0.9792121405822648,0.8451492059162253,0.7110862712501858,0.7110862712501858,0.824947893495662,0.7936974335468322,1.0,1.0,0.4871866097640481,0.6526713905038987,0.7410111832269859,0.6014602139280145,0.5794958383127221,0.5794958383127221,0.5794958383127221,0.4364840865297726,0.4410700994651619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22601824910250995,0.0,0.0,0.0
NF-kappa B signaling pathway,0.9975762098366326,0.9975762098366326,0.9975762098366326,0.9975762098366326,0.9975762098366326,0.9975762098366326,0.9975762098366326,0.4987881049183163,0.0,0.0,0.13448783164145825,0.060108276759423124,0.007525608257614294,0.007525608257614294,0.014562014289951587,0.02097540458302831,0.006171118592889839,0.0,0.0,0.0,0.0,0.0,0.0,0.7010244367536945,0.7010244367536945,0.594131110155154,0.594131110155154,0.594131110155154,0.0,0.16751570290760615,0.25318006578004404,0.2591897030712804,0.3045040970715825,0.3045040970715825,0.22342322923864222,0.22342322923864222,0.22342322923864222,0.22342322923864222,0.22342322923864222,0.22342322923864222,0.22342322923864222,0.22342322923864222,0.22342322923864222,0.22342322923864222,0.42639672964477976,0.42639672964477976,0.42639672964477976,0.42639672964477976,0.42639672964477976,0.414921162471109,0.414921162471109,0.414921162471109,0.414921162471109,0.414921162471109,0.414921162471109,0.3772675589543303,0.3772675589543303,0.3772675589543303,0.4204071849440668,0.49125709564381215,0.6717017570398851,0.519083473926442,0.11988684502633798,0.35214389468757307
mTOR signaling pathway,0.7935127326000266,0.7935127326000266,0.7935127326000266,0.7935127326000266,0.7935127326000266,0.7935127326000266,0.7935127326000266,0.4653104605452407,0.1371081884904548,0.1371081884904548,0.09853003885070133,0.0,0.0,0.0,0.19568653045055132,0.22094332293875174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80233483127257,0.80233483127257,0.8389710566450465,0.8389710566450465,0.8389710566450465,0.5340580686524193,0.0,0.0,0.09371746475774019,0.5177970648798769,0.5177970648798769,0.4374082763708876,0.4374082763708876,0.4374082763708876,0.4374082763708876,0.4374082763708876,0.4374082763708876,0.4374082763708876,0.4374082763708876,0.4374082763708876,0.4374082763708876,0.5095672745533614,0.5095672745533614,0.5095672745533614,0.5095672745533614,0.5095672745533614,0.5144203352977739,0.5144203352977739,0.5144203352977739,0.5144203352977739,0.5144203352977739,0.5144203352977739,0.629337816148796,0.629337816148796,0.629337816148796,0.5152049842841587,0.5366725818961876,0.6919979939376336,0.3839959878752672,0.0,0.20449410392711698
Type II diabetes mellitus,0.6150349966874035,0.6150349966874035,0.6150349966874035,0.6150349966874035,0.6150349966874035,0.6150349966874035,0.6150349966874035,0.5575174983437017,0.5,0.5,0.11203087569077035,0.10625252021233805,0.100727260353327,0.100727260353327,0.1313273631477237,0.0,0.0806809272604511,0.10136057937475736,0.0,0.0,0.0,0.08965665821292194,0.04482832910646097,0.16433784977116225,0.16433784977116225,0.053055520370024,0.053055520370024,0.053055520370024,0.29847693798847136,0.02787490791538965,0.01928209081124175,0.02434832355147505,0.02354654124200285,0.02354654124200285,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0184544535613608,0.0206296928066875,0.0206296928066875,0.0206296928066875,0.0206296928066875,0.0206296928066875,0.02789592752360935,0.02789592752360935,0.02789592752360935,0.02789592752360935,0.02789592752360935,0.02789592752360935,0.0379458855018523,0.0379458855018523,0.0379458855018523,0.04751251639692275,0.0482968615317245,0.08789704458111997,0.08534991719833575,0.1054989825331481,0.0533254303686999
Cell cycle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.2640551293820248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2324186880733207,0.2324186880733207,0.0,0.0,0.0,0.2481069827835147,0.3149249894735277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2567631267192597,0.0,0.6156647615317002,0.6404085686372599,0.5471674539220737,0.6269556915254102
Adipocytokine signaling pathway,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5288408598962236,0.05768171979244725,0.05768171979244725,0.3321068164085223,0.2219103490583494,0.2328390539780898,0.2328390539780898,0.2342844487414786,0.22711595225627884,0.19013489204142445,0.2013664640702384,0.18054938665721496,0.18054938665721496,0.18054938665721496,0.1713130506690127,0.17626087377366223,0.31643205341128616,0.31643205341128616,0.2666562369633842,0.2666562369633842,0.2666562369633842,0.29164786426694755,0.0,0.0,0.06127972901031715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2564634393130432,0.2564634393130432,0.2564634393130432,0.2564634393130432,0.2564634393130432,0.22737912977544844,0.22737912977544844,0.22737912977544844,0.22737912977544844,0.22737912977544844,0.22737912977544844,0.05642744940675025,0.05642744940675025,0.05642744940675025,0.23880495060050477,0.07692202173313305,0.278697183448468,0.12558423653066114,0.0,0.1030956272724445
Amyotrophic lateral sclerosis (ALS),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1281224919932371,0.1281224919932371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103583624239672,0.1055517296863082,0.17879150475875333,0.1692689008029324,0.0,0.1213004430132198
TGF-beta signaling pathway,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.14092087948862095,0.0,0.06844842279720315,0.06844842279720315,0.0,0.0,0.0,0.08383788506709675,0.0,0.0,0.0,0.04403737534776275,0.022018687673881376,0.16393088442916254,0.16393088442916254,0.10689220359450395,0.10689220359450395,0.10689220359450395,0.20665371224125328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625718761237865,0.0625718761237865,0.0625718761237865,0.0625718761237865,0.0625718761237865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04166318704407705,0.04741510945649205,0.19097599395154574,0.1994938434254479,0.0,0.04977359925216485
Apoptosis,0.9494034281929189,0.9494034281929189,0.9494034281929189,0.9494034281929189,0.9494034281929189,0.9494034281929189,0.9494034281929189,0.546855912054412,0.14430839591590505,0.14430839591590505,0.20770820782490834,0.10818105679854466,0.07220323788523096,0.07220323788523096,0.0835080125382997,0.049604386280611576,0.07884297992225658,0.12729944192794113,0.06623814598444774,0.06623814598444774,0.06623814598444774,0.07253273223246118,0.0686077088432316,0.3200483804423894,0.3200483804423894,0.23279031185784688,0.23279031185784688,0.23279031185784688,0.014292885678899336,0.11366423560774605,0.10147120289698999,0.09803835850038331,0.08091783113237411,0.08091783113237411,0.022518506613459444,0.022518506613459444,0.022518506613459444,0.022518506613459444,0.022518506613459444,0.022518506613459444,0.022518506613459444,0.022518506613459444,0.022518506613459444,0.022518506613459444,0.21066131247514513,0.21066131247514513,0.21066131247514513,0.21066131247514513,0.21066131247514513,0.14937504329848753,0.14937504329848753,0.14937504329848753,0.14937504329848753,0.14937504329848753,0.14937504329848753,0.12306852685506775,0.12306852685506775,0.12306852685506775,0.1977393118639102,0.2109533577730442,0.4825052702208949,0.43359750733758007,0.08844284672372622,0.254319636321283
